"Card number","Name","Rarity","Set Name"
"HAC1-EN001"," Blue-Eyes White Dragon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN002"," Dark Magician","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN003"," Red-Eyes Black Dragon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN004"," Elemental HERO Neos","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN004"," Elemental HERO Neos","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN005"," Kuriboh","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN005"," Kuriboh","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN006"," Barrel Dragon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN007"," Buster Blader","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN007"," Buster Blader","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN008"," Lava Golem","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN009"," Night Assailant","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN010"," Harpie Lady 1","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN010"," Harpie Lady 1","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN011"," Harpie Lady 2","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN011"," Harpie Lady 2","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN012"," Harpie Lady 3","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN012"," Harpie Lady 3","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN013"," Winged Kuriboh","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN013"," Winged Kuriboh","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN014"," Cyber Dragon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN015"," Elemental HERO Stratos","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN015"," Elemental HERO Stratos","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN016"," Card Trooper","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN017"," Red-Eyes Darkness Metal Dragon","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN017"," Red-Eyes Darkness Metal Dragon","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN018"," Dark Paladin","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN019"," Elemental HERO Flame Wingman","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN020"," Elemental HERO Shining Flare Wingman","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN020"," Elemental HERO Shining Flare Wingman","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN021"," Goyo Guardian","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN021"," Goyo Guardian","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN022"," Polymerization (alternate password)","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN023"," Mystical Space Typhoon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN024"," Book of Moon","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN025"," Enemy Controller","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN025"," Enemy Controller","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN026"," Waboku","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN026"," Waboku","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN027"," Dust Tornado","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN027"," Dust Tornado","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN028"," Skill Drain","Duel Terminal Ultra Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN029"," Blizzed, Defender of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN029"," Blizzed, Defender of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN030"," Blizzard Warrior","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN030"," Blizzard Warrior","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN031"," Cryomancer of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN031"," Cryomancer of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN032"," Royal Knight of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN032"," Royal Knight of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN033"," Dai-sojo of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN033"," Dai-sojo of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN034"," Medium of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN034"," Medium of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN035"," Pilgrim of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN035"," Pilgrim of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN036"," Geomancer of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN036"," Geomancer of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN037"," Shock Troops of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN037"," Shock Troops of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN038"," Samurai of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN038"," Samurai of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN039"," Dewdark of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN039"," Dewdark of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN040"," Caravan of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN040"," Caravan of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN041"," Spellbreaker of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN041"," Spellbreaker of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN042"," General Grunard of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN042"," General Grunard of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN043"," Defender of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN043"," Defender of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN044"," Warlock of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN044"," Warlock of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
"HAC1-EN045"," Sacred Spirit of the Ice Barrier","Common","Hidden Arsenal: Chapter 1"
"HAC1-EN045"," Sacred Spirit of the Ice Barrier","Duel Terminal Normal Parallel Rare","Hidden Arsenal: Chapter 1"
