Card number,Name,Rarity,Set Name
TAMA-EN047,Droll & Lock Bird,Rare,Tactical Masters
TAMA-EN047,Droll & Lock Bird,Collector's Rare,Tactical Masters
GFP2-EN176,Red-Eyes Black Dragon,Ghost Rare,Ghosts From the Past: The 2nd Haunting
YGLD-ENB02,Dark Magician,Ultra Rare,Yugi's Legendary Decks
DTP1-EN004,Ojama Yellow,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN006,Buster Blader,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN007,Kuriboh,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN008,Winged Kuriboh,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN010,Soul Exchange,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN011,Malevolent Nuzzler,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN012,Nobleman of Extermination,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN014,Dark Magic Attack,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN016,Dust Tornado,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN017,Mask of Weakness,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN018,Magic Jammer,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN019,Reinforcements,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
DTP1-EN020,Negate Attack,Duel Terminal Normal Parallel Rare,Duel Terminal - Preview Wave 2
MGED-EN001,Blue-Eyes White Dragon,Premium Gold Rare,Maximum Gold: El Dorado
MGED-EN002,Dark Magician,Premium Gold Rare,Maximum Gold: El Dorado
