"Card number","Name","Rarity","Category","Print","Quantity"
"SGX1-ENA06","Winged Kuriboh","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENA12","Polymerization","Secret Rare","Normal Spell","Reprint",1
"SGX1-ENA21","Elemental HERO Flame Wingman","Secret Rare","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENB01","Destiny HERO - Plasma","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENB05","Destiny HERO - Dasher","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENC08","Armed Dragon LV7","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENC21","Ojama King","Secret Rare","Effect Fusion Monster","Speed Duel debut",1
"SGX1-END01","Ancient Gear Golem","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-END05","Dekoichi the Battlechanted Locomotive","Secret Rare","Flip monster","Reprint",1
"SGX1-END21","Ultimate Ancient Gear Golem","Secret Rare","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENE04","D.D. Warrior Lady","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENE21","Cyber Blader","Secret Rare","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENF01","Rainbow Dragon","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENF08","Crystal Beast Sapphire Pegasus","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENG01","Cyber Dragon","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENG21","Cyber End Dragon","Secret Rare","Effect Fusion Monster","Speed Duel debut",1
"SGX1-ENH01","Volcanic Doomfire","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENH10","Volcanic Rocket","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENI04","Don Zaloog","Secret Rare","Effect Monster","Reprint",1
"SGX1-ENI05","Apprentice Magician","Secret Rare","Effect Monster","Reprint",1
"SGX1-ENI08","Hydrogeddon","Secret Rare","Effect Monster","Speed Duel debut",1
"SGX1-ENI12","Sphere Kuriboh","Secret Rare","Effect Monster","Reprint",1
"SGX1-ENI15","Book of Moon","Secret Rare","Quick-Play Spell","Reprint",1
"SGX1-ENI23","Floodgate Trap Hole","Secret Rare","Normal Trap","Reprint",1
"SGX1-ENS01","Here Goes Something!","Common","Skill Card","New",1
"SGX1-ENS02","Powerful Group of Guys","Common","Skill Card","New",1
"SGX1-ENS03","Land of the Ojamas","Common","Skill Card","New",1
"SGX1-ENS04","Ancient Fusion","Common","Skill Card","New",1
"SGX1-ENS05","Cyber Blade Fusion","Common","Skill Card","New",1
"SGX1-ENS06","Crystal Transcendence","Common","Skill Card","New",1
"SGX1-ENS07","Forbidden Cyber Style Technique","Common","Skill Card","New",1
"SGX1-ENS08","Blaze Accelerator Deployment","Common","Skill Card","New",1
"SGX1-ENS09","The Right Hero for the Job","Common","Skill Card","New",1
"SGX1-ENS10","Looking into the Future","Common","Skill Card","New",1
"SGX1-ENS11","Armed and Ready!","Common","Skill Card","New",1
"SGX1-ENS12","Middle Age Mechs","Common","Skill Card","New",1
"SGX1-ENS13","Machine Angel Ascension","Common","Skill Card","New",1
