"Card number","Name","Rarity","Category","Print","Quantity"
"SGX2-ENA08","Elemental HERO Bubbleman","Secret Rare","Effect Monster","Reprint",
"SGX2-ENA16","A Hero Lives","Secret Rare","Normal Spell","Speed Duel debut",
"SGX2-ENA21","Elemental HERO Tempest","Secret Rare","Effect Fusion Monster","Speed Duel debut",
"SGX2-ENB04","Drillroid","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-ENB22","Super Vehicroid Jumbo Drill","Secret Rare","Effect Fusion Monster","Speed Duel debut",
"SGX2-ENC01","Water Dragon","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-ENC08","Dogoran, the Mad Flame Kaiju","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-END01","Gate Guardian","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-END07","Sanga of the Thunder","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-END08","Kazejin","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-END09","Suijin","Secret Rare","Effect Monster","Speed Duel debut",
"SGX2-ENE10","UFOroid Fighter","Secret Rare","Effect Fusion Monster","Speed Duel debut",
"SGX2-ENS01","HEROES UNITE - FUSION!!","Common","Skill Card","New",1
"SGX2-ENS02","Chemistry in Motion","Common","Skill Card","New",1
"SGX2-ENS03","The Roids are Alright","Common","Skill Card","New",1
"SGX2-ENS04","Behold, Gate Guardian!","Common","Skill Card","New",1
"SGX2-ENS05","Under Pressure","Common","Skill Card","New",1
"SGX2-ENS06","Chillin' Outback","Common","Skill Card","New",1
"SGX2-ENS07","HERO World","Common","Skill Card","New",1
"SGX2-ENS08","Power Bond","Common","Skill Card","New",1
"SGX2-ENS09","Beware the Brothers Paradox!","Common","Skill Card","New",1
"SGX2-ENS10","Elements of Thunder, Water, and Wind","Common","Skill Card","New",1
"SGX2-ENS11","Believe in your Bro","Common","Skill Card","New",1
"SGX2-ENS12","Small Roid Big City","Common","Skill Card","New",1
"SGX2-ENA01","Elemental HERO Avian","Common","Normal Monster","Reprint",1
"SGX2-ENA02","Elemental HERO Burstinatrix","Common","Normal Monster","Reprint",1
"SGX2-ENA03","Elemental HERO Clayman","Common","Normal Monster","Reprint",1
"SGX2-ENA04","Elemental HERO Sparkman","Common","Normal Monster","Reprint",1
"SGX2-ENA05","Goddess with the Third Eye","Common","Effect Monster","Reprint",1
"SGX2-ENA06","Winged Kuriboh","Common","Effect Monster","Reprint",1
"SGX2-ENA07","Dark Catapulter","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENA08","Elemental HERO Bubbleman","Common","Effect Monster","Reprint",1
"SGX2-ENA09","Elemental HERO Bladedge","Common","Effect Monster","Reprint",1
"SGX2-ENA10","Elemental HERO Wildheart","Common","Effect Monster","Reprint",1
"SGX2-ENA11","Elemental HERO Blazeman","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENA12","Polymerization","Common","Normal Spell","Reprint",1
"SGX2-ENA13","H - Heated Heart","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENA14","R - Righteous Justice","Common","Normal Spell","Reprint",1
"SGX2-ENA15","Skyscraper 2 - Hero City","Common","Field Spell","Speed Duel debut",1
"SGX2-ENA16","A Hero Lives","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENA17","Sabatiel - The Philosopher's Stone","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENA18","Hero Signal","Common","Normal Trap","Reprint",1
"SGX2-ENA19","Hero Ring","Common","Normal Trap","Speed Duel debut",1
"SGX2-ENA20","Hero Counterattack","Common","Normal Trap","Speed Duel debut",1
"SGX2-ENA21","Elemental HERO Tempest","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENA22","Elemental HERO Electrum","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENA23","Elemental HERO Wild Wingman","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENA24","Elemental HERO Mariner","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENA25","Elemental HERO Nova Master","Common","Effect Fusion Monster","Speed Duel debut",1
"SGX2-ENB01","Cycroid","Common","Normal Monster","Speed Duel debut",1
"SGX2-ENB02","Gyroid","Common","Effect Monster","Reprint",1
"SGX2-ENB03","Steamroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB04","Drillroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB05","UFOroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB06","Mechanical Hound","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB07","Expressroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB08","Ambulanceroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB09","Submarineroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB10","Stealthroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB11","Truckroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB12","Rescueroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB13","Mixeroid","Common","Effect Monster","Speed Duel debut",1
"SGX2-ENB14","Weapon Change","Common","Continuous Spell","Speed Duel debut",1
"SGX2-ENB15","Shield Crush","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENB16","Vehicroid Connection Zone","Common","Normal Spell","Speed Duel debut",1
"SGX2-ENB17","Twister","Common","Quick-Play Spell","Reprint",1
"SGX2-ENB18","Supercharge","Common","Normal Trap","Speed Duel debut",1
"SGX2-ENB19","Wonder Garage","Common","Normal Trap","Speed Duel debut",1
"SGX2-ENB20","Emergeroid Call","Common","Counter Trap","Speed Duel debut",1
